Id,Id2,Geography,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
310M200US10100,10100,"Aberdeen, SD Micro Area",42078,*****,42078,(X),908,28,2.2,0.1,41170,28,97.8,0.1,38103,79,90.6,0.2,578,93,1.4,0.2,1324,205,3.1,0.5,724,29,1.7,0.1,8,14,0,0.1,10,14,0,0.1,423,214,1,0.5
310M200US10140,10140,"Aberdeen, WA Micro Area",71419,*****,71419,(X),6855,*****,9.6,*****,64564,*****,90.4,*****,57228,27,80.1,0.1,813,98,1.1,0.1,2890,244,4,0.3,1066,226,1.5,0.3,252,27,0.4,0.1,25,57,0,0.1,2290,346,3.2,0.5
310M200US10180,10180,"Abilene, TX Metro Area",167945,*****,167945,(X),37722,*****,22.5,*****,130223,*****,77.5,*****,111034,1240,66.1,0.7,12992,1209,7.7,0.7,657,147,0.4,0.1,2445,195,1.5,0.1,45,56,0,0.1,135,106,0.1,0.1,2915,351,1.7,0.2
310M200US10220,10220,"Ada, OK Micro Area",38055,*****,38055,(X),1775,*****,4.7,*****,36280,*****,95.3,*****,25731,14,67.6,0.1,869,95,2.3,0.2,2761,285,7.3,0.7,345,45,0.9,0.1,6,10,0,0.1,9,14,0,0.1,6559,302,17.2,0.8
310M200US10300,10300,"Adrian, MI Micro Area",98902,*****,98902,(X),7512,*****,7.6,*****,91390,*****,92.4,*****,86348,31,87.3,0.1,2225,201,2.2,0.2,386,116,0.4,0.1,284,82,0.3,0.1,67,69,0.1,0.1,14,18,0,0.1,2066,245,2.1,0.2
310M200US10420,10420,"Akron, OH Metro Area",703744,*****,703744,(X),12455,*****,1.8,*****,691289,*****,98.2,*****,572264,236,81.3,0.1,83255,1119,11.8,0.2,1213,259,0.2,0.1,16753,533,2.4,0.1,104,72,0,0.1,715,285,0.1,0.1,16985,1238,2.4,0.2
310M200US10460,10460,"Alamogordo, NM Micro Area",65318,*****,65318,(X),23607,*****,36.1,*****,41711,*****,63.9,*****,33387,80,51.1,0.1,2315,133,3.5,0.2,4031,143,6.2,0.2,731,106,1.1,0.2,16,21,0,0.1,77,68,0.1,0.1,1154,179,1.8,0.3
310M200US10500,10500,"Albany, GA Metro Area",155917,*****,155917,(X),3811,56,2.4,0.1,152106,56,97.6,0.1,66138,329,42.4,0.2,82124,408,52.7,0.3,124,69,0.1,0.1,1449,139,0.9,0.1,2,3,0,0.1,211,215,0.1,0.1,2058,387,1.3,0.2
310M200US10540,10540,"Albany, OR Metro Area",118971,*****,118971,(X),9856,*****,8.3,*****,109115,*****,91.7,*****,102802,37,86.4,0.1,521,157,0.4,0.1,1622,296,1.4,0.2,1426,174,1.2,0.1,133,89,0.1,0.1,13,16,0,0.1,2598,400,2.2,0.3
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",877846,*****,877846,(X),41014,*****,4.7,*****,836832,*****,95.3,*****,714594,575,81.4,0.1,63532,1168,7.2,0.1,1069,236,0.1,0.1,33092,608,3.8,0.1,224,50,0,0.1,3881,889,0.4,0.1,20440,1061,2.3,0.1
310M200US10620,10620,"Albemarle, NC Micro Area",60586,*****,60586,(X),2336,*****,3.9,*****,58250,*****,96.1,*****,49468,61,81.6,0.1,6270,230,10.3,0.4,212,54,0.3,0.1,1148,47,1.9,0.1,15,22,0,0.1,39,61,0.1,0.1,1098,248,1.8,0.4
310M200US10660,10660,"Albert Lea, MN Micro Area",30897,*****,30897,(X),2870,*****,9.3,*****,28027,*****,90.7,*****,26950,72,87.2,0.2,344,27,1.1,0.1,68,48,0.2,0.2,371,67,1.2,0.2,12,19,0,0.1,48,56,0.2,0.2,234,101,0.8,0.3
310M200US10700,10700,"Albertville, AL Micro Area",94318,*****,94318,(X),11944,*****,12.7,*****,82374,*****,87.3,*****,77992,54,82.7,0.1,1805,193,1.9,0.2,371,105,0.4,0.1,458,91,0.5,0.1,41,42,0,0.1,38,54,0,0.1,1669,251,1.8,0.3
310M200US10740,10740,"Albuquerque, NM Metro Area",902731,*****,902731,(X),430289,*****,47.7,*****,472442,*****,52.3,*****,369363,382,40.9,0.1,20803,600,2.3,0.1,45808,941,5.1,0.1,17004,656,1.9,0.1,486,152,0.1,0.1,2407,505,0.3,0.1,16571,1258,1.8,0.1
310M200US10780,10780,"Alexandria, LA Metro Area",154587,*****,154587,(X),5099,254,3.3,0.2,149488,254,96.7,0.2,98620,92,63.8,0.1,45348,369,29.3,0.2,875,164,0.6,0.1,2029,95,1.3,0.1,77,77,0,0.1,146,77,0.1,0.1,2393,361,1.5,0.2
310M200US10820,10820,"Alexandria, MN Micro Area",36620,*****,36620,(X),489,*****,1.3,*****,36131,*****,98.7,*****,35366,4,96.6,0.1,202,32,0.6,0.1,85,28,0.2,0.1,89,46,0.2,0.1,0,18,0,0.1,4,5,0,0.1,385,68,1.1,0.2
310M200US10860,10860,"Alice, TX Micro Area",41461,*****,41461,(X),32949,*****,79.5,*****,8512,*****,20.5,*****,7867,27,19,0.1,218,109,0.5,0.3,38,44,0.1,0.1,150,160,0.4,0.4,60,71,0.1,0.2,0,27,0,0.1,179,160,0.4,0.4
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",828232,*****,828232,(X),121324,*****,14.6,*****,706908,*****,85.4,*****,630550,489,76.1,0.1,36903,985,4.5,0.1,834,175,0.1,0.1,22507,481,2.7,0.1,51,28,0,0.1,1800,498,0.2,0.1,14263,994,1.7,0.1
310M200US10940,10940,"Alma, MI Micro Area",41878,*****,41878,(X),2335,*****,5.6,*****,39543,*****,94.4,*****,36382,12,86.9,0.1,2338,88,5.6,0.2,131,59,0.3,0.1,158,50,0.4,0.1,17,19,0,0.1,28,22,0.1,0.1,489,120,1.2,0.3
310M200US10980,10980,"Alpena, MI Micro Area",29068,*****,29068,(X),363,*****,1.2,*****,28705,*****,98.8,*****,27934,10,96.1,0.1,144,28,0.5,0.1,163,38,0.6,0.1,130,67,0.4,0.2,4,6,0,0.1,0,18,0,0.1,330,83,1.1,0.3
310M200US11020,11020,"Altoona, PA Metro Area",126448,*****,126448,(X),1404,*****,1.1,*****,125044,*****,98.9,*****,120251,35,95.1,0.1,1999,192,1.6,0.2,55,43,0,0.1,852,78,0.7,0.1,0,23,0,0.1,12,15,0,0.1,1875,205,1.5,0.2
310M200US11060,11060,"Altus, OK Micro Area",26056,*****,26056,(X),5829,*****,22.4,*****,20227,*****,77.6,*****,16724,83,64.2,0.3,1920,128,7.4,0.5,293,96,1.1,0.4,368,45,1.4,0.2,54,56,0.2,0.2,3,4,0,0.1,865,162,3.3,0.6
310M200US11100,11100,"Amarillo, TX Metro Area",259216,88,259216,(X),70053,91,27,0.1,189163,120,73,0.1,160672,243,62,0.1,14462,453,5.6,0.2,1000,168,0.4,0.1,7484,269,2.9,0.1,333,169,0.1,0.1,224,127,0.1,0.1,4988,503,1.9,0.2
310M200US11140,11140,"Americus, GA Micro Area",36503,*****,36503,(X),1877,163,5.1,0.4,34626,163,94.9,0.4,16243,303,44.5,0.8,17429,297,47.7,0.8,59,52,0.2,0.1,432,45,1.2,0.1,0,27,0,0.1,15,26,0,0.1,448,210,1.2,0.6
310M200US11180,11180,"Ames, IA Metro Area",93586,*****,93586,(X),2899,*****,3.1,*****,90687,*****,96.9,*****,80101,20,85.6,0.1,2134,238,2.3,0.3,173,112,0.2,0.1,6121,360,6.5,0.4,19,33,0,0.1,6,9,0,0.1,2133,431,2.3,0.5
310M200US11220,11220,"Amsterdam, NY Micro Area",49779,*****,49779,(X),6111,*****,12.3,*****,43668,*****,87.7,*****,41619,52,83.6,0.1,725,105,1.5,0.2,41,32,0.1,0.1,346,77,0.7,0.2,15,26,0,0.1,131,82,0.3,0.2,791,144,1.6,0.3
310M200US11260,11260,"Anchorage, AK Metro Area",395285,*****,395285,(X),29982,*****,7.6,*****,365303,*****,92.4,*****,258134,233,65.3,0.1,17460,597,4.4,0.2,23783,1164,6,0.3,27398,874,6.9,0.2,6527,299,1.7,0.1,611,267,0.2,0.1,31390,1698,7.9,0.4
310M200US11380,11380,"Andrews, TX Micro Area",16775,*****,16775,(X),8925,*****,53.2,*****,7850,*****,46.8,*****,7223,20,43.1,0.2,212,101,1.3,0.6,33,56,0.2,0.3,63,81,0.4,0.5,0,20,0,0.2,0,20,0,0.2,319,139,1.9,0.8
310M200US11420,11420,"Angola, IN Micro Area",34267,*****,34267,(X),1108,*****,3.2,*****,33159,*****,96.8,*****,32318,39,94.3,0.1,87,40,0.3,0.1,16,15,0,0.1,147,43,0.4,0.1,11,14,0,0.1,26,39,0.1,0.1,554,66,1.6,0.2
310M200US11460,11460,"Ann Arbor, MI Metro Area",354092,*****,354092,(X),15474,*****,4.4,*****,338618,*****,95.6,*****,251417,223,71,0.1,42294,680,11.9,0.2,548,154,0.2,0.1,29800,535,8.4,0.2,78,47,0,0.1,865,286,0.2,0.1,13616,891,3.8,0.3
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",116648,*****,116648,(X),4075,*****,3.5,*****,112573,*****,96.5,*****,85184,83,73,0.1,23703,393,20.3,0.3,223,107,0.2,0.1,1000,142,0.9,0.1,7,11,0,0.1,23,22,0,0.1,2433,405,2.1,0.3
310M200US11540,11540,"Appleton, WI Metro Area",230108,*****,230108,(X),9024,*****,3.9,*****,221084,*****,96.1,*****,205398,162,89.3,0.1,2344,290,1,0.1,3112,240,1.4,0.1,6894,265,3,0.1,30,29,0,0.1,266,169,0.1,0.1,3040,477,1.3,0.2
310M200US11580,11580,"Arcadia, FL Micro Area",34957,*****,34957,(X),10672,*****,30.5,*****,24285,*****,69.5,*****,19292,30,55.2,0.1,4506,128,12.9,0.4,45,43,0.1,0.1,106,88,0.3,0.3,18,28,0.1,0.1,27,30,0.1,0.1,291,96,0.8,0.3
310M200US11620,11620,"Ardmore, OK Micro Area",48442,*****,48442,(X),3098,*****,6.4,*****,45344,*****,93.6,*****,34580,22,71.4,0.1,3353,126,6.9,0.3,3858,338,8,0.7,451,106,0.9,0.2,53,70,0.1,0.1,9,14,0,0.1,3040,381,6.3,0.8
310M200US11660,11660,"Arkadelphia, AR Micro Area",22751,*****,22751,(X),984,*****,4.3,*****,21767,*****,95.7,*****,15839,21,69.6,0.1,5437,72,23.9,0.3,34,42,0.1,0.2,190,5,0.8,0.1,0,21,0,0.1,0,21,0,0.1,267,82,1.2,0.4
310M200US11680,11680,"Arkansas City-Winfield, KS Micro Area",36079,*****,36079,(X),3612,*****,10,*****,32467,*****,90,*****,29202,36,80.9,0.1,1008,118,2.8,0.3,660,112,1.8,0.3,581,62,1.6,0.2,4,6,0,0.1,7,11,0,0.1,1005,186,2.8,0.5
310M200US11700,11700,"Asheville, NC Metro Area",437252,*****,437252,(X),29139,*****,6.7,*****,408113,*****,93.3,*****,374134,424,85.6,0.1,19449,666,4.4,0.2,1466,316,0.3,0.1,4202,331,1,0.1,214,180,0,0.1,654,395,0.1,0.1,7994,832,1.8,0.2
310M200US11740,11740,"Ashland, OH Micro Area",53189,*****,53189,(X),607,*****,1.1,*****,52582,*****,98.9,*****,51160,13,96.2,0.1,443,104,0.8,0.2,35,31,0.1,0.1,286,71,0.5,0.1,0,26,0,0.1,8,13,0,0.1,650,139,1.2,0.3
310M200US11780,11780,"Ashtabula, OH Micro Area",99777,*****,99777,(X),3755,*****,3.8,*****,96022,*****,96.2,*****,89961,53,90.2,0.1,3343,218,3.4,0.2,114,56,0.1,0.1,471,70,0.5,0.1,23,40,0,0.1,67,53,0.1,0.1,2043,228,2,0.2
310M200US11820,11820,"Astoria, OR Micro Area",37382,*****,37382,(X),3014,*****,8.1,*****,34368,*****,91.9,*****,32291,35,86.4,0.1,277,46,0.7,0.1,118,52,0.3,0.1,353,105,0.9,0.3,73,76,0.2,0.2,0,25,0,0.1,1256,143,3.4,0.4
310M200US11860,11860,"Atchison, KS Micro Area",16633,*****,16633,(X),474,*****,2.8,*****,16159,*****,97.2,*****,14678,42,88.2,0.3,681,174,4.1,1,67,53,0.4,0.3,56,38,0.3,0.2,11,16,0.1,0.1,23,34,0.1,0.2,643,189,3.9,1.1
310M200US11900,11900,"Athens, OH Micro Area",64974,*****,64974,(X),1180,*****,1.8,*****,63794,*****,98.2,*****,58513,38,90.1,0.1,1482,142,2.3,0.2,109,58,0.2,0.1,2131,111,3.3,0.2,25,42,0,0.1,35,38,0.1,0.1,1499,199,2.3,0.3
310M200US11940,11940,"Athens, TN Micro Area",52506,*****,52506,(X),1729,*****,3.3,*****,50777,*****,96.7,*****,47246,28,90,0.1,2126,160,4,0.3,131,90,0.2,0.2,240,110,0.5,0.2,0,28,0,0.1,0,28,0,0.1,1034,212,2,0.4
310M200US11980,11980,"Athens, TX Micro Area",79016,*****,79016,(X),9218,*****,11.7,*****,69798,*****,88.3,*****,62804,11,79.5,0.1,5160,187,6.5,0.2,456,157,0.6,0.2,468,36,0.6,0.1,61,56,0.1,0.1,58,80,0.1,0.1,791,185,1,0.2
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",198225,*****,198225,(X),16225,*****,8.2,*****,182000,*****,91.8,*****,132438,108,66.8,0.1,38678,450,19.5,0.2,365,116,0.2,0.1,7018,218,3.5,0.1,7,12,0,0.1,284,120,0.1,0.1,3210,486,1.6,0.2
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5535837,*****,5535837,(X),578574,*****,10.5,*****,4957263,*****,89.5,*****,2734202,1255,49.4,0.1,1800312,3275,32.5,0.1,10240,817,0.2,0.1,292695,1842,5.3,0.1,1683,321,0,0.1,15167,1779,0.3,0.1,102964,4069,1.9,0.1
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",275376,*****,275376,(X),49845,*****,18.1,*****,225531,*****,81.9,*****,157071,128,57,0.1,39439,798,14.3,0.3,437,103,0.2,0.1,22469,384,8.2,0.1,46,54,0,0.1,588,323,0.2,0.1,5481,944,2,0.3
310M200US12140,12140,"Auburn, IN Micro Area",42449,*****,42449,(X),1107,*****,2.6,*****,41342,*****,97.4,*****,40452,14,95.3,0.1,52,36,0.1,0.1,30,27,0.1,0.1,192,99,0.5,0.2,0,24,0,0.1,4,7,0,0.1,612,116,1.4,0.3
310M200US12180,12180,"Auburn, NY Micro Area",79173,*****,79173,(X),2145,*****,2.7,*****,77028,*****,97.3,*****,71808,86,90.7,0.1,3227,276,4.1,0.3,208,61,0.3,0.1,338,88,0.4,0.1,0,27,0,0.1,87,85,0.1,0.1,1360,301,1.7,0.4
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",150982,*****,150982,(X),5615,*****,3.7,*****,145367,*****,96.3,*****,102965,201,68.2,0.1,34698,444,23,0.3,211,104,0.1,0.1,4908,174,3.3,0.1,26,44,0,0.1,284,205,0.2,0.1,2275,445,1.5,0.3
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",580178,*****,580178,(X),28687,61,4.9,0.1,551491,61,95.1,0.1,323399,240,55.7,0.1,203762,1015,35.1,0.2,1285,321,0.2,0.1,10304,512,1.8,0.1,530,94,0.1,0.1,997,365,0.2,0.1,11214,1113,1.9,0.2
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",121112,*****,121112,(X),1684,*****,1.4,*****,119428,*****,98.6,*****,115191,15,95.1,0.1,934,156,0.8,0.1,786,161,0.6,0.1,934,229,0.8,0.2,4,7,0,0.1,19,13,0,0.1,1560,312,1.3,0.3
310M200US12380,12380,"Austin, MN Micro Area",39227,*****,39227,(X),4281,*****,10.9,*****,34946,*****,89.1,*****,32317,18,82.4,0.1,1186,186,3,0.5,26,24,0.1,0.1,782,110,2,0.3,50,57,0.1,0.1,40,65,0.1,0.2,545,216,1.4,0.5
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1889094,*****,1889094,(X),602079,*****,31.9,*****,1287015,*****,68.1,*****,1012661,551,53.6,0.1,132651,1250,7,0.1,3738,510,0.2,0.1,95919,1072,5.1,0.1,860,239,0,0.1,2895,559,0.2,0.1,38291,1684,2,0.1
310M200US12460,12460,"Bainbridge, GA Micro Area",27378,*****,27378,(X),1508,*****,5.5,*****,25870,*****,94.5,*****,14089,110,51.5,0.4,11373,8,41.5,0.1,80,36,0.3,0.1,86,73,0.3,0.3,0,24,0,0.1,67,110,0.2,0.4,175,81,0.6,0.3
310M200US12540,12540,"Bakersfield, CA Metro Area",865736,*****,865736,(X),441496,*****,51,*****,424240,*****,49,*****,317048,335,36.6,0.1,46058,854,5.3,0.1,4846,468,0.6,0.1,38202,832,4.4,0.1,1000,210,0.1,0.1,995,303,0.1,0.1,16091,1268,1.9,0.1
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2769818,*****,2769818,(X),141742,*****,5.1,*****,2628076,*****,94.9,*****,1620577,731,58.5,0.1,788441,1989,28.5,0.1,5355,418,0.2,0.1,141267,1242,5.1,0.1,1239,154,0,0.1,6406,867,0.2,0.1,64791,2185,2.3,0.1
310M200US12620,12620,"Bangor, ME Metro Area",153437,*****,153437,(X),1841,*****,1.2,*****,151596,*****,98.8,*****,144593,93,94.2,0.1,1250,123,0.8,0.1,1635,158,1.1,0.1,1650,173,1.1,0.1,27,21,0,0.1,95,94,0.1,0.1,2346,252,1.5,0.2
310M200US12660,12660,"Baraboo, WI Micro Area",62992,*****,62992,(X),2962,*****,4.7,*****,60030,*****,95.3,*****,57817,44,91.8,0.1,322,70,0.5,0.1,746,101,1.2,0.2,423,60,0.7,0.1,0,20,0,0.1,44,44,0.1,0.1,678,143,1.1,0.2
310M200US12680,12680,"Bardstown, KY Micro Area",44564,*****,44564,(X),925,*****,2.1,*****,43639,*****,97.9,*****,40407,47,90.7,0.1,2322,174,5.2,0.4,96,51,0.2,0.1,133,73,0.3,0.2,0,24,0,0.1,13,22,0,0.1,668,217,1.5,0.5
310M200US12700,12700,"Barnstable Town, MA Metro Area",214766,*****,214766,(X),5551,*****,2.6,*****,209215,*****,97.4,*****,195568,331,91.1,0.2,5355,316,2.5,0.1,893,207,0.4,0.1,3012,216,1.4,0.1,4,8,0,0.1,1335,354,0.6,0.2,3048,450,1.4,0.2
310M200US12740,12740,"Barre, VT Micro Area",59132,*****,59132,(X),1109,*****,1.9,*****,58023,*****,98.1,*****,55829,40,94.4,0.1,504,138,0.9,0.2,157,85,0.3,0.1,468,70,0.8,0.1,7,10,0,0.1,38,35,0.1,0.1,1020,178,1.7,0.3
310M200US12780,12780,"Bartlesville, OK Micro Area",51760,*****,51760,(X),2864,*****,5.5,*****,48896,*****,94.5,*****,38431,47,74.2,0.1,1330,109,2.6,0.2,5016,353,9.7,0.7,888,87,1.7,0.2,3,5,0,0.1,20,31,0,0.1,3208,413,6.2,0.8
310M200US12820,12820,"Bastrop, LA Micro Area",27012,*****,27012,(X),322,*****,1.2,*****,26690,*****,98.8,*****,13461,22,49.8,0.1,12774,246,47.3,0.9,30,31,0.1,0.1,69,60,0.3,0.2,0,22,0,0.1,89,126,0.3,0.5,267,177,1,0.7
310M200US12860,12860,"Batavia, NY Micro Area",59458,*****,59458,(X),1764,*****,3,*****,57694,*****,97,*****,54029,39,90.9,0.1,1513,169,2.5,0.3,602,69,1,0.1,413,49,0.7,0.1,0,27,0,0.1,60,37,0.1,0.1,1077,180,1.8,0.3
310M200US12900,12900,"Batesville, AR Micro Area",36952,*****,36952,(X),2213,*****,6,*****,34739,*****,94,*****,32989,16,89.3,0.1,740,112,2,0.3,114,96,0.3,0.3,321,49,0.9,0.1,7,11,0,0.1,8,16,0,0.1,560,134,1.5,0.4
310M200US12940,12940,"Baton Rouge, LA Metro Area",819861,*****,819861,(X),29837,25,3.6,0.1,790024,25,96.4,0.1,469828,341,57.3,0.1,289819,955,35.3,0.1,1548,388,0.2,0.1,16060,514,2,0.1,133,28,0,0.1,1389,517,0.2,0.1,11247,1010,1.4,0.1
310M200US12980,12980,"Battle Creek, MI Metro Area",134790,*****,134790,(X),6339,*****,4.7,*****,128451,*****,95.3,*****,106614,144,79.1,0.1,14450,329,10.7,0.2,921,169,0.7,0.1,2572,160,1.9,0.1,24,28,0,0.1,151,131,0.1,0.1,3719,382,2.8,0.3
310M200US13020,13020,"Bay City, MI Metro Area",106698,*****,106698,(X),5295,*****,5,*****,101403,*****,95,*****,96695,42,90.6,0.1,1342,233,1.3,0.2,244,95,0.2,0.1,628,99,0.6,0.1,13,20,0,0.1,29,40,0,0.1,2452,256,2.3,0.2
310M200US13060,13060,"Bay City, TX Micro Area",36598,*****,36598,(X),14587,*****,39.9,*****,22011,*****,60.1,*****,16895,7,46.2,0.1,3614,359,9.9,1,140,64,0.4,0.2,763,44,2.1,0.1,72,112,0.2,0.3,0,27,0,0.1,527,349,1.4,1
310M200US13100,13100,"Beatrice, NE Micro Area",21818,*****,21818,(X),443,*****,2,*****,21375,*****,98,*****,20783,21,95.3,0.1,83,52,0.4,0.2,41,32,0.2,0.1,91,82,0.4,0.4,43,52,0.2,0.2,0,17,0,0.1,334,106,1.5,0.5
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",405695,*****,405695,(X),55901,*****,13.8,*****,349794,*****,86.2,*****,235214,133,58,0.1,97301,658,24,0.2,1138,193,0.3,0.1,10103,417,2.5,0.1,132,86,0,0.1,415,274,0.1,0.1,5491,754,1.4,0.2
310M200US13180,13180,"Beaver Dam, WI Micro Area",88547,*****,88547,(X),3890,*****,4.4,*****,84657,*****,95.6,*****,80418,33,90.8,0.1,1809,194,2,0.2,652,167,0.7,0.2,503,97,0.6,0.1,0,20,0,0.1,14,22,0,0.1,1261,221,1.4,0.2
310M200US13220,13220,"Beckley, WV Metro Area",124027,*****,124027,(X),1590,*****,1.3,*****,122437,*****,98.7,*****,110612,259,89.2,0.2,8830,211,7.1,0.2,392,130,0.3,0.1,881,80,0.7,0.1,73,68,0.1,0.1,338,295,0.3,0.2,1311,265,1.1,0.2
310M200US13260,13260,"Bedford, IN Micro Area",45814,*****,45814,(X),680,*****,1.5,*****,45134,*****,98.5,*****,44023,24,96.1,0.1,171,69,0.4,0.2,60,65,0.1,0.1,265,74,0.6,0.2,0,24,0,0.1,0,24,0,0.1,615,123,1.3,0.3
310M200US13300,13300,"Beeville, TX Micro Area",32659,*****,32659,(X),18726,*****,57.3,*****,13933,*****,42.7,*****,10822,27,33.1,0.1,2793,197,8.6,0.6,170,187,0.5,0.6,76,45,0.2,0.1,0,27,0,0.1,0,27,0,0.1,72,51,0.2,0.2
310M200US13340,13340,"Bellefontaine, OH Micro Area",45484,*****,45484,(X),612,*****,1.3,*****,44872,*****,98.7,*****,42793,16,94.1,0.1,880,164,1.9,0.4,81,62,0.2,0.1,338,50,0.7,0.1,0,23,0,0.1,6,9,0,0.1,774,172,1.7,0.4
310M200US13380,13380,"Bellingham, WA Metro Area",207100,*****,207100,(X),18030,*****,8.7,*****,189070,*****,91.3,*****,166283,155,80.3,0.1,1705,250,0.8,0.1,5385,375,2.6,0.2,8079,346,3.9,0.2,582,69,0.3,0.1,234,149,0.1,0.1,6802,554,3.3,0.3
310M200US13420,13420,"Bemidji, MN Micro Area",45434,*****,45434,(X),869,*****,1.9,*****,44565,*****,98.1,*****,33342,27,73.4,0.1,347,86,0.8,0.2,9080,269,20,0.6,394,32,0.9,0.1,44,35,0.1,0.1,19,26,0,0.1,1339,288,2.9,0.6
310M200US13460,13460,"Bend-Redmond, OR Metro Area",166622,*****,166622,(X),12831,*****,7.7,*****,153791,*****,92.3,*****,146449,346,87.9,0.2,734,156,0.4,0.1,890,223,0.5,0.1,1969,258,1.2,0.2,166,109,0.1,0.1,25,34,0,0.1,3558,478,2.1,0.3
310M200US13500,13500,"Bennettsville, SC Micro Area",27993,*****,27993,(X),872,*****,3.1,*****,27121,*****,96.9,*****,11137,22,39.8,0.1,14186,135,50.7,0.5,1035,201,3.7,0.7,75,25,0.3,0.1,21,34,0.1,0.1,26,23,0.1,0.1,641,233,2.3,0.8
310M200US13540,13540,"Bennington, VT Micro Area",36589,*****,36589,(X),625,*****,1.7,*****,35964,*****,98.3,*****,34768,60,95,0.2,177,63,0.5,0.2,56,42,0.2,0.1,178,82,0.5,0.2,0,18,0,0.1,29,51,0.1,0.1,756,109,2.1,0.3
