Id,Id2,Geography,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
310M200US33020,33020,"Mexico, MO Micro Area",25783,*****,25783,(X),718,*****,2.8,*****,25065,*****,97.2,*****,22545,175,87.4,0.7,1692,165,6.6,0.6,13,18,0.1,0.1,36,35,0.1,0.1,0,20,0,0.1,20,23,0.1,0.1,759,251,2.9,1
310M200US33060,33060,"Miami, OK Micro Area",32085,*****,32085,(X),1639,*****,5.1,*****,30446,*****,94.9,*****,21262,25,66.3,0.1,277,39,0.9,0.1,4389,209,13.7,0.7,234,18,0.7,0.1,217,53,0.7,0.2,31,24,0.1,0.1,4036,216,12.6,0.7
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5861000,*****,5861000,(X),2509596,*****,42.8,*****,3351404,*****,57.2,*****,1937632,1280,33.1,0.1,1181744,2615,20.2,0.1,7064,566,0.1,0.1,137665,1454,2.3,0.1,1828,347,0,0.1,18885,1765,0.3,0.1,66586,3146,1.1,0.1
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",111280,*****,111280,(X),6635,*****,6,*****,104645,*****,94,*****,89437,61,80.4,0.1,12030,341,10.8,0.3,246,82,0.2,0.1,556,114,0.5,0.1,10,13,0,0.1,64,45,0.1,0.1,2302,387,2.1,0.3
310M200US33180,33180,"Middlesborough, KY Micro Area",27950,*****,27950,(X),130,109,0.5,0.4,27820,109,99.5,0.4,26442,13,94.6,0.1,897,176,3.2,0.6,10,15,0,0.1,90,37,0.3,0.1,0,21,0,0.1,8,13,0,0.1,373,151,1.3,0.5
310M200US33220,33220,"Midland, MI Metro Area",83624,*****,83624,(X),2004,*****,2.4,*****,81620,*****,97.6,*****,76855,199,91.9,0.2,1145,135,1.4,0.2,325,128,0.4,0.2,1949,104,2.3,0.1,26,20,0,0.1,282,203,0.3,0.2,1038,229,1.2,0.3
310M200US33260,33260,"Midland, TX Metro Area",156542,*****,156542,(X),64812,154,41.4,0.1,91730,154,58.6,0.1,77829,202,49.7,0.1,8883,433,5.7,0.3,514,192,0.3,0.1,2271,133,1.5,0.1,146,161,0.1,0.1,111,125,0.1,0.1,1976,424,1.3,0.3
310M200US33300,33300,"Milledgeville, GA Micro Area",54676,*****,54676,(X),1145,140,2.1,0.3,53531,140,97.9,0.3,26654,35,48.7,0.1,25491,244,46.6,0.4,116,39,0.2,0.1,735,125,1.3,0.2,39,64,0.1,0.1,7,11,0,0.1,489,230,0.9,0.4
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1570006,*****,1570006,(X),157917,*****,10.1,*****,1412089,*****,89.9,*****,1066264,291,67.9,0.1,257478,1099,16.4,0.1,5606,421,0.4,0.1,50649,876,3.2,0.1,237,82,0,0.1,1298,308,0.1,0.1,30557,1273,1.9,0.1
310M200US33420,33420,"Mineral Wells, TX Micro Area",27921,*****,27921,(X),5405,*****,19.4,*****,22516,*****,80.6,*****,21245,39,76.1,0.1,684,92,2.4,0.3,158,31,0.6,0.1,109,56,0.4,0.2,11,16,0,0.1,26,39,0.1,0.1,283,110,1,0.4
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3458790,*****,3458790,(X),192461,*****,5.6,*****,3266329,*****,94.4,*****,2679301,812,77.5,0.1,257459,2167,7.4,0.1,17682,832,0.5,0.1,210852,1286,6.1,0.1,886,172,0,0.1,5568,760,0.2,0.1,94581,2552,2.7,0.1
310M200US33500,33500,"Minot, ND Micro Area",76115,*****,76115,(X),3354,60,4.4,0.1,72761,59,95.6,0.1,66200,104,87,0.1,2083,315,2.7,0.4,927,236,1.2,0.3,878,139,1.2,0.2,102,50,0.1,0.1,65,85,0.1,0.1,2506,435,3.3,0.6
310M200US33540,33540,"Missoula, MT Metro Area",111966,*****,111966,(X),3368,*****,3,*****,108598,*****,97,*****,100853,41,90.1,0.1,511,131,0.5,0.1,2776,334,2.5,0.3,1383,234,1.2,0.2,148,28,0.1,0.1,51,49,0,0.1,2876,466,2.6,0.4
310M200US33580,33580,"Mitchell, SD Micro Area",23173,*****,23173,(X),468,48,2,0.2,22705,48,98,0.2,21427,154,92.5,0.7,213,150,0.9,0.6,704,191,3,0.8,35,42,0.2,0.2,12,17,0.1,0.1,0,17,0,0.1,314,176,1.4,0.8
310M200US33620,33620,"Moberly, MO Micro Area",25135,*****,25135,(X),459,*****,1.8,*****,24676,*****,98.2,*****,22486,2,89.5,0.1,1232,182,4.9,0.7,116,52,0.5,0.2,130,62,0.5,0.2,22,34,0.1,0.1,3,4,0,0.1,687,208,2.7,0.8
310M200US33660,33660,"Mobile, AL Metro Area",414251,*****,414251,(X),10917,*****,2.6,*****,403334,*****,97.4,*****,240830,86,58.1,0.1,144839,678,35,0.2,2605,412,0.6,0.1,8052,293,1.9,0.1,64,54,0,0.1,463,252,0.1,0.1,6481,771,1.6,0.2
310M200US33700,33700,"Modesto, CA Metro Area",527367,*****,527367,(X),230087,*****,43.6,*****,297280,*****,56.4,*****,235880,442,44.7,0.1,12904,510,2.4,0.1,2593,384,0.5,0.1,27680,878,5.2,0.2,3704,261,0.7,0.1,928,452,0.2,0.1,13591,1097,2.6,0.2
310M200US33740,33740,"Monroe, LA Metro Area",178302,*****,178302,(X),4183,*****,2.3,*****,174119,*****,97.7,*****,106829,128,59.9,0.1,63760,423,35.8,0.2,390,94,0.2,0.1,1442,204,0.8,0.1,55,49,0,0.1,168,136,0.1,0.1,1475,475,0.8,0.3
310M200US33780,33780,"Monroe, MI Metro Area",150436,*****,150436,(X),4989,*****,3.3,*****,145447,*****,96.7,*****,138288,183,91.9,0.1,3478,219,2.3,0.1,460,120,0.3,0.1,928,137,0.6,0.1,7,11,0,0.1,202,192,0.1,0.1,2084,323,1.4,0.2
310M200US33860,33860,"Montgomery, AL Metro Area",374864,*****,374864,(X),11496,33,3.1,0.1,363368,33,96.9,0.1,188124,146,50.2,0.1,162593,512,43.4,0.1,828,193,0.2,0.1,6084,519,1.6,0.1,31,27,0,0.1,446,189,0.1,0.1,5262,644,1.4,0.2
310M200US33940,33940,"Montrose, CO Micro Area",40815,*****,40815,(X),8243,*****,20.2,*****,32572,*****,79.8,*****,31190,103,76.4,0.3,214,52,0.5,0.1,129,106,0.3,0.3,179,83,0.4,0.2,105,114,0.3,0.3,99,100,0.2,0.2,656,150,1.6,0.4
310M200US33980,33980,"Morehead City, NC Micro Area",68228,*****,68228,(X),2771,*****,4.1,*****,65457,*****,95.9,*****,58957,56,86.4,0.1,4092,195,6,0.3,305,71,0.4,0.1,813,86,1.2,0.1,0,28,0,0.1,41,47,0.1,0.1,1249,217,1.8,0.3
310M200US34020,34020,"Morgan City, LA Micro Area",53441,*****,53441,(X),3291,*****,6.2,*****,50150,*****,93.8,*****,30219,25,56.5,0.1,16599,322,31.1,0.6,615,106,1.2,0.2,869,85,1.6,0.2,0,28,0,0.1,29,28,0.1,0.1,1819,343,3.4,0.6
310M200US34060,34060,"Morgantown, WV Metro Area",135477,*****,135477,(X),2628,271,1.9,0.2,132849,271,98.1,0.2,121911,1063,90,0.8,4945,813,3.7,0.6,185,71,0.1,0.1,3256,243,2.4,0.2,14,23,0,0.1,116,71,0.1,0.1,2422,447,1.8,0.3
310M200US34100,34100,"Morristown, TN Metro Area",115489,*****,115489,(X),8750,*****,7.6,*****,106739,*****,92.4,*****,100401,21,86.9,0.1,3643,301,3.2,0.3,156,108,0.1,0.1,566,133,0.5,0.1,12,21,0,0.1,11,19,0,0.1,1950,335,1.7,0.3
310M200US34140,34140,"Moscow, ID Micro Area",38339,*****,38339,(X),1520,*****,4,*****,36819,*****,96,*****,34477,38,89.9,0.1,246,80,0.6,0.2,236,62,0.6,0.2,837,143,2.2,0.4,17,20,0,0.1,38,38,0.1,0.1,968,155,2.5,0.4
